source,origin_files,source_family,price,cleanliness,difficulty,access,tw_signal,chain_signal,bom_proximity,processing_cost,status,notes
Datamyne,methods.md|sourceMethods.md|sourceMethods3.md,shipping_manifest,paid,clean,medium,database,high,high,medium,medium,keep,customs database for shipment tracing
Sayari,sourceMethods3.md,supply_chain_graph,paid,clean,medium,terminal,medium,high,low,medium,maybe,entity resolution and relationship tracing
SemiAnalysis,methods.md|sourceMethods.md|sourceMethods3.md,industry_research,paid,clean,medium,report,high,high,medium,medium,keep,high signal AI and semis research
TrendForce,methods.md|sourceMethods.md,industry_research,paid,clean,medium,report,high,high,medium,medium,keep,Taiwan semis AI and server coverage
TechInsights,methods.md|sourceMethods.md|sourceMethods3.md,teardown_bom,paid,clean,medium,report,high,high,high,medium,keep,closest to BOM and teardown
Omdia,methods.md|sourceMethods.md,industry_research,paid,clean,medium,report,medium,medium,medium,medium,maybe,market research and validation layer
Counterpoint,methods.md|sourceMethods.md,industry_research,paid,clean,medium,report,medium,medium,medium,medium,maybe,mobile and semis market research
Gartner,methods.md|sourceMethods.md,industry_research,paid,clean,medium,report,low,low,low,medium,maybe,broad market validation
IDC,methods.md|sourceMethods.md,industry_research,paid,clean,medium,report,low,low,low,medium,maybe,broad market validation
Bloomberg Terminal,methods.md|sourceMethods.md|sourceMethods3.md,terminal,paid,clean,easy,terminal,medium,medium,low,low,maybe,broad institutional terminal
AlphaSense,sourceMethods3.md,terminal,paid,clean,easy,terminal,medium,medium,low,low,maybe,text aggregation for filings reports and news
Tegus,sourceMethods3.md,terminal,paid,clean,easy,terminal,medium,medium,low,low,maybe,expert calls and research aggregation
GDELT,sourceMethods3.md,social_signal,free,dirty,easy,api,medium,medium,low,medium,maybe,news event layer
